src1_x,src1_y,src1_z,src2_x,src2_y,src2_z,rlt_x,rlt_y,rlt_z
-0.257308,-0.138101,-0.0282092,-0.280016,-0.132619,-0.0167128,-0.263113,-0.138973,-0.0244622
-0.266662,-0.138085,-0.0271257,-0.279974,-0.132692,-0.0168565,-0.263143,-0.139027,-0.0246563
-0.283377,-0.138809,-0.0292285,-0.2799,-0.132626,-0.017043,-0.263474,-0.138958,-0.0249305
-0.263507,-0.140361,-0.0260312,-0.279878,-0.132422,-0.0172295,-0.263454,-0.138786,-0.0251352
-0.274334,-0.139852,-0.0326678,-0.279889,-0.132122,-0.0172241,-0.263683,-0.138513,-0.0252806
-0.251624,-0.141051,-0.0313632,-0.2799,-0.131801,-0.0171016,-0.263452,-0.138249,-0.0252822
-0.265942,-0.140626,-0.0250329,-0.279858,-0.13149,-0.0170856,-0.263461,-0.137992,-0.0252615
-0.258647,-0.137157,-0.0275733,-0.279784,-0.131169,-0.0172613,-0.263292,-0.137661,-0.02548
-0.233478,-0.136285,-0.0260756,-0.27971,-0.13089,-0.0174583,-0.262623,-0.13736,-0.025685
-0.281613,-0.127675,-0.0290936,-0.279635,-0.130739,-0.0175276,-0.26293,-0.137019,-0.025821
-0.260151,-0.135151,-0.0272619,-0.279614,-0.130737,-0.0175009,-0.262853,-0.136979,-0.0258237
-0.273041,-0.13438,-0.0291502,-0.279668,-0.130864,-0.0174104,-0.26311,-0.137051,-0.0258015
-0.23223,-0.139534,-0.029129,-0.279753,-0.131064,-0.017224,-0.262576,-0.137297,-0.0256854
-0.276883,-0.140749,-0.0305084,-0.279839,-0.131286,-0.0169417,-0.262946,-0.137584,-0.0255052
-0.251399,-0.139493,-0.027364,-0.27985,-0.131402,-0.0166273,-0.262725,-0.137735,-0.0252343
-0.275232,-0.135671,-0.024025,-0.279903,-0.131368,-0.0163025,-0.263028,-0.137661,-0.0248918
-0.263793,-0.133712,-0.0241079,-0.279935,-0.131196,-0.0161267,-0.263075,-0.137413,-0.0247038
-0.249836,-0.135233,-0.0237441,-0.279925,-0.130928,-0.0161639,-0.2628,-0.137107,-0.0247211
-0.251081,-0.136511,-0.0273439,-0.279893,-0.130702,-0.0162651,-0.262535,-0.136874,-0.0248727
-0.235864,-0.139582,-0.0293934,-0.279872,-0.130594,-0.0163237,-0.261981,-0.136822,-0.0250205
-0.282019,-0.13396,-0.0288318,-0.27983,-0.130625,-0.016393,-0.26234,-0.136795,-0.0251647
-0.235347,-0.136384,-0.0284892,-0.279788,-0.130761,-0.0165155,-0.261759,-0.136921,-0.0253512
-0.268661,-0.141374,-0.02814,-0.279746,-0.130994,-0.0165634,-0.261855,-0.137238,-0.025454
-0.263711,-0.137941,-0.0247807,-0.279725,-0.131195,-0.0165155,-0.261872,-0.137448,-0.0253935
-0.248101,-0.143501,-0.0226852,-0.279714,-0.131342,-0.0163397,-0.261586,-0.137714,-0.0251671
-0.267049,-0.140342,-0.0263459,-0.279757,-0.131425,-0.0161214,-0.261737,-0.137848,-0.0249767
-0.258878,-0.136246,-0.0260092,-0.279811,-0.131488,-0.015871,-0.261733,-0.137877,-0.0247519
-0.279327,-0.134419,-0.0261331,-0.279875,-0.131507,-0.0155887,-0.262148,-0.137827,-0.0245029
-0.247834,-0.136651,-0.0233269,-0.279982,-0.131527,-0.015285,-0.261966,-0.137823,-0.0241818
-0.252896,-0.13785,-0.024017,-0.280067,-0.131568,-0.0149707,-0.261868,-0.137863,-0.0238705
-0.263821,-0.140183,-0.0275079,-0.280142,-0.131566,-0.0147203,-0.261981,-0.137908,-0.0236978
-0.27937,-0.141587,-0.0260156,-0.280185,-0.131522,-0.0145552,-0.262371,-0.137938,-0.0235824
-0.2661,-0.134506,-0.0265448,-0.280196,-0.131371,-0.014454,-0.262456,-0.137722,-0.0235425
-0.257938,-0.134624,-0.0256497,-0.280175,-0.131252,-0.0143741,-0.262345,-0.137543,-0.0235063
-0.274153,-0.141488,-0.0258187,-0.280122,-0.131176,-0.0143474,-0.262529,-0.137548,-0.0235264
-0.263694,-0.139331,-0.0306734,-0.280069,-0.131153,-0.0143527,-0.262501,-0.137561,-0.0236745
-0.282106,-0.144505,-0.0295166,-0.279995,-0.13113,-0.0143687,-0.26282,-0.137677,-0.0238071
-0.252627,-0.145055,-0.030271,-0.27992,-0.13117,-0.0143741,-0.262543,-0.137865,-0.0239416
-0.242314,-0.148835,-0.0264686,-0.279899,-0.131329,-0.0143155,-0.262118,-0.138239,-0.0239347
-0.258945,-0.147893,-0.0243006,-0.2799,-0.131636,-0.0141823,-0.262055,-0.138733,-0.0238115
-0.272323,-0.146232,-0.0229979,-0.2799,-0.131964,-0.0139958,-0.262261,-0.139205,-0.0236125
-0.274716,-0.146196,-0.0252417,-0.279868,-0.132197,-0.0137242,-0.262479,-0.139573,-0.0233789
-0.253634,-0.144845,-0.0343996,-0.279762,-0.13228,-0.0134419,-0.262198,-0.13976,-0.0233227
-0.277864,-0.142735,-0.0328162,-0.279571,-0.13214,-0.0131171,-0.262323,-0.139682,-0.0231942
-0.253701,-0.141927,-0.0353298,-0.279294,-0.131883,-0.0128134,-0.26188,-0.139475,-0.0231393
-0.273714,-0.137309,-0.0327477,-0.2789,-0.131604,-0.0125951,-0.261731,-0.139158,-0.0231175
-0.299667,-0.138069,-0.0355099,-0.278442,-0.1314,-0.0124725,-0.262041,-0.138937,-0.0232453
-0.271656,-0.143309,-0.0277187,-0.277921,-0.131302,-0.0124033,-0.261722,-0.138928,-0.0232668
-0.271631,-0.136559,-0.0274043,-0.277324,-0.131375,-0.0123553,-0.261335,-0.138952,-0.0233026
-0.262777,-0.143524,-0.0354409,-0.276675,-0.131501,-0.0122967,-0.260728,-0.139168,-0.023488
-0.272332,-0.152409,-0.0425044,-0.275897,-0.13151,-0.0122914,-0.260198,-0.139441,-0.0238631
-0.275364,-0.14738,-0.0535055,-0.275046,-0.131306,-0.0123074,-0.259667,-0.1394,-0.0244716
-0.285742,-0.149137,-0.0456299,-0.274034,-0.130942,-0.0122063,-0.259197,-0.139238,-0.0247956
-0.286677,-0.145269,-0.0399302,-0.27299,-0.130429,-0.0119559,-0.258723,-0.138856,-0.0248529
-0.261936,-0.153612,-0.0392266,-0.271915,-0.129916,-0.011599,-0.257734,-0.138648,-0.0247907
-0.307165,-0.149455,-0.0401882,-0.270722,-0.129584,-0.0112527,-0.257553,-0.138539,-0.0247593
-0.261132,-0.154586,-0.0469361,-0.269593,-0.129508,-0.0107574,-0.256519,-0.138785,-0.0247174
-0.26445,-0.15403,-0.0405616,-0.268539,-0.129464,-0.0101555,-0.255644,-0.139047,-0.0244444
-0.25581,-0.140408,-0.034323,-0.267665,-0.129079,-0.00967071,-0.254792,-0.138697,-0.0241669
-0.25848,-0.127764,-0.0243555,-0.266952,-0.128246,-0.00918594,-0.254166,-0.137662,-0.0236956
-0.254301,-0.123291,-0.0197988,-0.266313,-0.127169,-0.0082112,-0.253543,-0.136319,-0.0226624
-0.260854,-0.117439,-0.0094006,-0.265759,-0.126315,-0.00671447,-0.253146,-0.135104,-0.0209304
-0.237005,-0.118253,-0.00275546,-0.265312,-0.125876,-0.00520705,-0.252385,-0.134337,-0.0190896
-0.228946,-0.107823,0.00939089,-0.265057,-0.125683,-0.00406188,-0.251666,-0.133617,-0.0173977
-0.224412,-0.1055,0.0288065,-0.265068,-0.125574,-0.00319366,-0.251132,-0.132949,-0.0156228
-0.187685,-0.11269,0.041141,-0.265494,-0.125296,-0.00282607,-0.250281,-0.132271,-0.0141273
-0.225359,-0.129983,0.0302293,-0.26624,-0.124538,-0.00340667,-0.250513,-0.131482,-0.0138091
-0.230909,-0.136978,0.000327493,-0.26705,-0.123023,-0.00481811,-0.250915,-0.130108,-0.0149096
-0.225347,-0.130264,-0.00601213,-0.267796,-0.120859,-0.00712432,-0.251135,-0.12799,-0.0169918
-0.230771,-0.128374,-0.0129087,-0.268457,-0.118375,-0.010059,-0.251375,-0.125564,-0.0197861
-0.272224,-0.119116,-0.0229555,-0.269224,-0.115732,-0.013111,-0.252544,-0.122844,-0.0228404
-0.262497,-0.114186,-0.0234651,-0.270087,-0.112971,-0.0158327,-0.253589,-0.119965,-0.0255202
-0.229728,-0.110364,-0.0192474,-0.271004,-0.110157,-0.0182561,-0.25401,-0.117016,-0.0277696
-0.252886,-0.104929,-0.013383,-0.272005,-0.107268,-0.0203599,-0.254969,-0.113943,-0.0295437
-0.24621,-0.106814,-0.0116867,-0.273177,-0.104295,-0.0221016,-0.255942,-0.110886,-0.0308934
-0.245455,-0.115503,-0.036162,-0.274445,-0.10147,-0.0242268,-0.256975,-0.10821,-0.0330815
-0.236088,-0.118998,-0.0119571,-0.275543,-0.0983363,-0.0301337,-0.257633,-0.105355,-0.0384477
-0.213132,-0.100305,-0.0161218,-0.276853,-0.0956608,-0.0376916,-0.258027,-0.102632,-0.045408
-0.254957,-0.114626,-0.0349631,-0.278324,-0.093795,-0.0458037,-0.259407,-0.101044,-0.0531489
-0.24554,-0.10545,-0.0452004,-0.279752,-0.0923233,-0.0545228,-0.260529,-0.0996894,-0.0615347
-0.246702,-0.114594,-0.0624368,-0.281094,-0.0908302,-0.0634231,-0.261568,-0.0985243,-0.070275
-0.245167,-0.12607,-0.0758483,-0.282181,-0.0886872,-0.0722488,-0.262305,-0.0969751,-0.0790357
-0.252867,-0.113237,-0.0793119,-0.283097,-0.0859478,-0.0814474,-0.263014,-0.0946157,-0.0880558
-0.273294,-0.102054,-0.105174,-0.283833,-0.082825,-0.0919456,-0.263941,-0.0917041,-0.0986864
-0.26453,-0.0799263,-0.103136,-0.284483,-0.0798405,-0.103637,-0.26459,-0.0885437,-0.110233
-0.248482,-0.0774804,-0.11196,-0.284909,-0.0780065,-0.115349,-0.264685,-0.0865252,-0.121746
-0.265715,-0.092924,-0.112617,-0.284941,-0.0777172,-0.127126,-0.264737,-0.0863697,-0.133104
-0.241282,-0.104631,-0.113451,-0.284739,-0.0785357,-0.139925,-0.26407,-0.087537,-0.145254
-0.231891,-0.11053,-0.132346,-0.284548,-0.0796846,-0.153715,-0.263239,-0.0891227,-0.15851
-0.260309,-0.103127,-0.152726,-0.284708,-0.0803433,-0.16824,-0.263337,-0.0900483,-0.172629
-0.245921,-0.0736535,-0.168541,-0.285049,-0.0801818,-0.183297,-0.263323,-0.0895622,-0.187303
-0.279661,-0.0637522,-0.189273,-0.285752,-0.0794024,-0.198802,-0.264339,-0.0882822,-0.202537
-0.232967,-0.0772128,-0.196741,-0.286914,-0.0783035,-0.213689,-0.26485,-0.0869838,-0.217011
-0.270746,-0.089393,-0.226274,-0.28831,-0.0769169,-0.228022,-0.266336,-0.0856732,-0.231243
-0.296464,-0.100888,-0.252916,-0.289769,-0.0751576,-0.242782,-0.268369,-0.0842533,-0.24614
-0.286704,-0.088047,-0.272597,-0.291495,-0.0730146,-0.258702,-0.270427,-0.0822291,-0.262271
-0.311297,-0.0635395,-0.295938,-0.293615,-0.0707865,-0.276295,-0.273322,-0.0796718,-0.280186
-0.271238,-0.0738052,-0.289603,-0.295906,-0.0686968,-0.29523,-0.275525,-0.0775066,-0.29893
-0.264801,-0.0891892,-0.289903,-0.298186,-0.0669801,-0.315134,-0.277545,-0.0760578,-0.318256
-0.252941,-0.0933941,-0.298819,-0.300487,-0.0654444,-0.336626,-0.279309,-0.0748996,-0.338929
-0.229713,-0.0902822,-0.312985,-0.302821,-0.0640046,-0.360035,-0.280603,-0.0737962,-0.361351
-0.236015,-0.0838255,-0.338053,-0.305026,-0.0628099,-0.384605,-0.281873,-0.0728259,-0.384964
-0.231075,-0.0880074,-0.348173,-0.307242,-0.0620518,-0.409122,-0.283029,-0.0723867,-0.408255
-0.278481,-0.0626216,-0.408605,-0.309543,-0.0620076,-0.432329,-0.285193,-0.072148,-0.431005
-0.294028,-0.0476981,-0.462782,-0.311632,-0.0617395,-0.454173,-0.287416,-0.0713963,-0.453047
-0.286521,-0.0381165,-0.490548,-0.313762,-0.0604061,-0.475696,-0.289486,-0.069424,-0.47489
-0.31145,-0.0545496,-0.520586,-0.316436,-0.0581034,-0.496975,-0.292546,-0.0668699,-0.496657
-0.32062,-0.0477615,-0.54161,-0.32008,-0.0554492,-0.517817,-0.296678,-0.0638865,-0.517981
-0.300296,-0.0289005,-0.534269,-0.324352,-0.0526991,-0.537902,-0.300937,-0.0604917,-0.537991
-0.243256,-0.0257369,-0.480412,-0.328549,-0.0501513,-0.557881,-0.303897,-0.0572998,-0.556418
-0.208538,-0.0357392,-0.496621,-0.332694,-0.0487861,-0.578137,-0.306051,-0.0555307,-0.575073
-0.25357,-0.0432904,-0.536914,-0.33672,-0.0486992,-0.598894,-0.308948,-0.0552007,-0.594652
-0.317611,-0.04913,-0.608601,-0.340534,-0.0489318,-0.620002,-0.312859,-0.0553073,-0.615617
-0.328831,-0.0324875,-0.650535,-0.344242,-0.0483549,-0.641025,-0.316812,-0.0542855,-0.636918
-0.334588,-0.0356496,-0.709363,-0.348482,-0.0460948,-0.660663,-0.321322,-0.0516979,-0.657612
-0.331292,-0.0202514,-0.744263,-0.353404,-0.0419279,-0.678235,-0.326345,-0.0469854,-0.676565
-0.336213,-0.0284552,-0.724538,-0.358997,-0.0366105,-0.693676,-0.332024,-0.0414038,-0.692657
-0.291961,-0.0311938,-0.690749,-0.365058,-0.0318791,-0.708584,-0.337163,-0.0365627,-0.707229
-0.310305,-0.0204892,-0.69653,-0.371205,-0.0288839,-0.723727,-0.34265,-0.033306,-0.721855
-0.258143,-0.00552944,-0.697236,-0.377107,-0.0277104,-0.739253,-0.346743,-0.0316004,-0.736578
-0.258761,-0.0277434,-0.713781,-0.382764,-0.0280389,-0.755099,-0.350527,-0.0318452,-0.751651
-0.248876,0.00680802,-0.657674,-0.387814,-0.0297096,-0.770114,-0.353443,-0.0327094,-0.764486
-0.24555,0.0142284,-0.683972,-0.391777,-0.0332339,-0.782519,-0.355169,-0.0352245,-0.775032
-0.300955,0.010291,-0.737056,-0.394834,-0.0383242,-0.795158,-0.357081,-0.0393027,-0.786659
-0.341956,0.0247236,-0.833061,-0.397082,-0.0438513,-0.809193,-0.358982,-0.0434387,-0.801342
-0.399379,0.0303031,-0.89437,-0.398691,-0.0488989,-0.824602,-0.361366,-0.0469105,-0.818303
-0.384394,0.0167507,-0.897466,-0.400268,-0.052583,-0.840171,-0.363372,-0.0492477,-0.835144
-0.374461,0.00466341,-0.873138,-0.402069,-0.0546266,-0.854589,-0.365359,-0.0501722,-0.850034
-0.32769,-0.0103983,-0.847456,-0.404199,-0.0554878,-0.867122,-0.366693,-0.0502207,-0.862264
-0.314004,0.00421481,-0.851159,-0.406735,-0.0554968,-0.877823,-0.368124,-0.0491408,-0.872529
-0.326842,0.0202069,-0.850409,-0.409814,-0.0546109,-0.887628,-0.370316,-0.0468857,-0.881696
-0.319093,0.0101626,-0.856436,-0.412925,-0.0532882,-0.898105,-0.37234,-0.0444485,-0.891458
-0.311296,0.0195833,-0.850357,-0.415343,-0.0530201,-0.91116,-0.37349,-0.0429052,-0.90343
-0.296247,0.023411,-0.861776,-0.417208,-0.0545738,-0.925312,-0.373772,-0.0431014,-0.916466
-0.338551,0.0194441,-0.903364,-0.41854,-0.05764,-0.938995,-0.374373,-0.0448554,-0.929613
-0.344055,0.01655,-0.965344,-0.419658,-0.0610897,-0.950655,-0.374863,-0.047008,-0.941754
-0.3893,0.0234099,-1.00121,-0.421065,-0.0638897,-0.960492,-0.37653,-0.0483437,-0.952584
-0.379752,0.0316711,-1.00106,-0.422769,-0.0655925,-0.969542,-0.378265,-0.0484121,-0.962422
-0.375793,0.0312224,-1.00235,-0.424517,-0.0664004,-0.978548,-0.379928,-0.0476112,-0.972047
-0.363943,0.0317509,-0.988931,-0.426221,-0.0669207,-0.987065,-0.381279,-0.0465338,-0.980732
-0.363506,0.0217607,-1.00639,-0.428054,-0.0672067,-0.993303,-0.382719,-0.0454482,-0.987357
-0.371532,0.0167931,-1.03477,-0.430419,-0.0669493,-0.99693,-0.384813,-0.0439511,-0.99186
-0.360884,0.0401856,-1.03343,-0.433573,-0.0661912,-0.998544,-0.387425,-0.0415254,-0.994273
-0.380838,0.0166892,-1.01023,-0.437493,-0.0653692,-0.999273,-0.391135,-0.0395556,-0.995307
-0.353981,0.012472,-1.00301,-0.441424,-0.0648774,-0.999321,-0.394245,-0.0380331,-0.995508
